method,split,cls,iou,ci_lo,ci_hi,n_images
openpi_siglip,val,bg,0.9925791863846694,0.9918712951045697,0.9932683061375596,73
openpi_siglip,val,grasp,0.35937672976862617,0.31174041086807014,0.40863859928272456,73
openpi_siglip,val,cut,0.45455065172650355,0.1918093609267124,0.5891160181234455,73
openpi_siglip,val,scoop,0.5783121301085792,0.51144012271574,0.6381385383230582,73
openpi_siglip,val,contain,0.6492492779223259,0.5981240520642352,0.6981277414075964,73
openpi_siglip,val,support,0.625276992435241,0.545612627712056,0.6920957570559205,73
pi0_siglip,val,bg,0.9920650029159452,0.990943975955417,0.9929784281474243,73
pi0_siglip,val,grasp,0.30742958527389663,0.24987296645995144,0.35802389105779936,73
pi0_siglip,val,cut,0.1808235528148001,0.01257747042155948,0.31929451393650815,73
pi0_siglip,val,scoop,0.545156482861401,0.41995762674640663,0.623301114090824,73
pi0_siglip,val,contain,0.6383797239194388,0.5619240951725587,0.6987908113431172,73
pi0_siglip,val,support,0.4527363184079602,0.3021853511080439,0.5505868230882899,73
pi05_siglip,val,bg,0.991921851885231,0.9909224126935035,0.992784894905471,73
pi05_siglip,val,grasp,0.2950563746747615,0.23732351089688455,0.34625736252430195,73
pi05_siglip,val,cut,0.2593068035943517,0.046851249657372106,0.35520769368783073,73
pi05_siglip,val,scoop,0.5445235975066786,0.4078116000270231,0.6422607357947107,73
pi05_siglip,val,contain,0.6368715083798883,0.5638827868854079,0.6911423592330707,73
pi05_siglip,val,support,0.529678394129074,0.4028527250760636,0.6090186564533941,73
dinov2,val,bg,0.9951746204961855,0.9947445094114002,0.9955800757525393,73
dinov2,val,grasp,0.540103212918262,0.4875921647656916,0.5820586284893945,73
dinov2,val,cut,0.5700513846573598,0.402933213435635,0.6706119336769654,73
dinov2,val,scoop,0.778028037746107,0.7036394242643035,0.8228094462131779,73
dinov2,val,contain,0.774167897307736,0.7271654062598604,0.8117347898982963,73
dinov2,val,support,0.7427740518725147,0.7187395143086308,0.7632464921890366,73
dinov2_large,val,bg,0.9950055170892692,0.9943766559636067,0.9955578059445099,73
dinov2_large,val,grasp,0.5338401775804662,0.4822101390466165,0.5778579846398577,73
dinov2_large,val,cut,0.5781840829218382,0.41624893960440923,0.6568996969430576,73
dinov2_large,val,scoop,0.7833782674950182,0.7481370227513996,0.8120446535083964,73
dinov2_large,val,contain,0.7286780686005858,0.6081675734964899,0.8095113745348553,73
dinov2_large,val,support,0.7349854745953637,0.7029822052383738,0.7583762672206121,73
openpi_siglip,test,bg,0.9925163745343708,0.9914850087696562,0.9933574276066184,75
openpi_siglip,test,grasp,0.36076948590381425,0.3146319285994958,0.4045761297769297,75
openpi_siglip,test,cut,0.5013484439865459,0.32905653933466095,0.5867473121116827,75
openpi_siglip,test,scoop,0.5617136009586579,0.43123053392598104,0.6504463721336791,75
openpi_siglip,test,contain,0.6676862515626247,0.5960113907470171,0.7210146917798063,75
openpi_siglip,test,support,0.505922837667924,0.3502878359308051,0.621880475872725,75
pi0_siglip,test,bg,0.9912358286190062,0.9900833139876332,0.9922583109563918,75
pi0_siglip,test,grasp,0.2599410898379971,0.19620128485616287,0.3144203399182564,75
pi0_siglip,test,cut,0.38113170151620257,0.0956580405710201,0.4969264442652238,75
pi0_siglip,test,scoop,0.48488745980707393,0.33588602293625236,0.5835434649315694,75
pi0_siglip,test,contain,0.5508601676224084,0.43706377687497855,0.6361788031088862,75
pi0_siglip,test,support,0.4599786552828175,0.3439789130708022,0.5756179420192146,75
dinov2,test,bg,0.9948090687560724,0.9941743709267702,0.9953305409224669,75
dinov2,test,grasp,0.5123477530449391,0.4570305793306448,0.5583108644313871,75
dinov2,test,cut,0.6360599051424032,0.4921600841388148,0.6972009648629219,75
dinov2,test,scoop,0.6972466128968176,0.5530621089418086,0.7855296361518409,75
dinov2,test,contain,0.7858518011465732,0.7367350933164221,0.8170711356034028,75
dinov2,test,support,0.7122213268869192,0.6769455360828556,0.7425356466793559,75
dinov2_large,test,bg,0.9949925380880236,0.9944448941902387,0.9955340346103709,75
dinov2_large,test,grasp,0.5095005168536931,0.4569076758066069,0.554647089632771,75
dinov2_large,test,cut,0.6476467756355884,0.4804478295467256,0.7289945206902996,75
dinov2_large,test,scoop,0.7262366349430149,0.6567724934560016,0.7714054855771336,75
dinov2_large,test,contain,0.7898885507214644,0.7542181586378698,0.8158136611775901,75
dinov2_large,test,support,0.7098676869121633,0.6802902099161,0.7395997128870457,75
